prompt,gold,Applicant_Full_Name_prompt
"""First, for clinical trial NCT01973387, among the more effective regimen ingredients, identify which ingredient starts with the letter 'I'.\n\nThen, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the company name in format of COMPANY: name.""",PHARMACYCLICS LLC,Applicant_Full_Name
"""First, for clinical trial NCT00843882, among the more effective regimen ingredients, identify which ingredient starts with the letter 'L'.\n\nThen, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the company name in format of COMPANY: name.""",BRISTOL MYERS SQUIBB,Applicant_Full_Name
"""First, for clinical trial NCT01231412, among the more effective regimen ingredients, identify which ingredient starts with the letter 'S'.\n\nThen, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the company name in format of COMPANY: name.""",AADI SUB,Applicant_Full_Name
"""First, for clinical trial NCT00974311, among the more effective regimen ingredients, identify which ingredient starts with the letter 'E'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in YYYY format: date: YYYY.""","Aug 13, 2027",Patent_Expire_Date_Text_prompt
"""First, for clinical trial NCT02838420, among the less effective regimen ingredients, identify which ingredient starts with the letter 'C'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in YYYY format: date: YYYY.""","May 12, 2027",Patent_Expire_Date_Text_prompt
"""First, for clinical trial NCT01938001, among the more effective regimen ingredients, identify which ingredient starts with the letter 'L'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in YYYY format: date: YYYY.""","Apr 27, 2027",Patent_Expire_Date_Text_prompt
"""First, for clinical trial NCT00071799, among the more effective regimen ingredients, identify which ingredient starts with the letter 'A'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in YYYY format: date: YYYY.""","May 14, 2029",Patent_Expire_Date_Text_prompt
"""First, for clinical trial NCT00720512, among the more effective regimen ingredients, identify which ingredient starts with the letter 'I'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in YYYY format: date: YYYY.""","Jan 6, 2027",Patent_Expire_Date_Text_prompt
"""First, for clinical trial NCT02755597, among the more effective regimen ingredients, identify which ingredient starts with the letter 'V'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in YYYY format: date: YYYY.""","Jan 29, 2032",Patent_Expire_Date_Text_prompt
"""First, for clinical trial NCT00833833, among the more effective regimen ingredients, identify which ingredient starts with the letter 'D'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in YYYY format: date: YYYY.""","Dec 18, 2037",Patent_Expire_Date_Text_prompt
"""First, for clinical trial NCT01973387, among the more effective regimen ingredients, identify which ingredient starts with the letter 'I'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in YYYY format: date: YYYY.""","Dec 3, 2031",Patent_Expire_Date_Text_prompt
"""First, for clinical trial NCT00843882, among the more effective regimen ingredients, identify which ingredient starts with the letter 'L'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in YYYY format: date: YYYY.""","Apr 27, 2027",Patent_Expire_Date_Text_prompt
"""First, for clinical trial NCT01231412, among the more effective regimen ingredients, identify which ingredient starts with the letter 'S'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in YYYY format: date: YYYY.""","Mar 5, 2036",Patent_Expire_Date_Text_prompt
"""For clinical trial NCT00974311, among the more effective regimen ingredients, identify which ingredient starts with the letter 'E'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in MM-DD-YYYY format: date: MM-DD-YYYY.""","Nov 17, 2026",Exclusivity_Date
"""For clinical trial NCT02838420, among the less effective regimen ingredients, identify which ingredient starts with the letter 'C'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in MM-DD-YYYY format: date: MM-DD-YYYY.""","Jul 14, 2025",Exclusivity_Date
"""For clinical trial NCT01938001, among the more effective regimen ingredients, identify which ingredient starts with the letter 'L'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in MM-DD-YYYY format: date: MM-DD-YYYY.""","May 28, 2026",Exclusivity_Date
"""For clinical trial NCT00071799, among the more effective regimen ingredients, identify which ingredient starts with the letter 'A'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in MM-DD-YYYY format: date: MM-DD-YYYY.""","Sep 1, 2027",Exclusivity_Date
"""For clinical trial NCT00720512, among the more effective regimen ingredients, identify which ingredient starts with the letter 'I'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in MM-DD-YYYY format: date: MM-DD-YYYY.""","Feb 13, 2031",Exclusivity_Date
"""For clinical trial NCT02755597, among the more effective regimen ingredients, identify which ingredient starts with the letter 'V'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in MM-DD-YYYY format: date: MM-DD-YYYY.""","May 15, 2026",Exclusivity_Date
"""For clinical trial NCT00833833, among the more effective regimen ingredients, identify which ingredient starts with the letter 'D'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in MM-DD-YYYY format: date: MM-DD-YYYY.""","Oct 3, 2026",Exclusivity_Date
"""For clinical trial NCT01973387, among the more effective regimen ingredients, identify which ingredient starts with the letter 'I'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in MM-DD-YYYY format: date: MM-DD-YYYY.""","Aug 24, 2029",Exclusivity_Date
"""For clinical trial NCT00843882, among the more effective regimen ingredients, identify which ingredient starts with the letter 'L'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in MM-DD-YYYY format: date: MM-DD-YYYY.""","May 28, 2026",Exclusivity_Date
"""For clinical trial NCT01231412, among the more effective regimen ingredients, identify which ingredient starts with the letter 'S'.\n\nThen, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the date in MM-DD-YYYY format: date: MM-DD-YYYY.""","Nov 22, 2028",Exclusivity_Date
"""For clinical trial NCT00974311, review the more effective regimen ingredients and identify which ingredient starts with the letter 'E'.\n\nThen, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\n\nIf this company is listed on any US stock market (including over-the-counter markets), provide:\n1. The stock ticker symbol\n2. The opening stock price on the FDA approval date\n\nIf the company is not listed on any US stock market, please indicate \""NOT LISTED\"".""",15.98999977,Open_on_Approval
"""For clinical trial NCT02838420, review the less effective regimen ingredients and identify which ingredient starts with the letter 'C'.\n\nThen, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\n\nIf this company is listed on any US stock market (including over-the-counter markets), provide:\n1. The stock ticker symbol\n2. The opening stock price on the FDA approval date\n\nIf the company is not listed on any US stock market, please indicate \""NOT LISTED\"".""",34.47000122,Open_on_Approval
"""For clinical trial NCT01938001, review the more effective regimen ingredients and identify which ingredient starts with the letter 'L'.\n\nThen, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\n\nIf this company is listed on any US stock market (including over-the-counter markets), provide:\n1. The stock ticker symbol\n2. The opening stock price on the FDA approval date\n\nIf the company is not listed on any US stock market, please indicate \""NOT LISTED\"".""",46.72999954,Open_on_Approval
"""For clinical trial NCT00071799, review the more effective regimen ingredients and identify which ingredient starts with the letter 'A'.\n\nThen, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\n\nIf this company is listed on any US stock market (including over-the-counter markets), provide:\n1. The stock ticker symbol\n2. The opening stock price on the FDA approval date\n\nIf the company is not listed on any US stock market, please indicate \""NOT LISTED\"".""",62.20000076,Open_on_Approval
"""For clinical trial NCT00720512, review the more effective regimen ingredients and identify which ingredient starts with the letter 'I'.\n\nThen, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\n\nIf this company is listed on any US stock market (including over-the-counter markets), provide:\n1. The stock ticker symbol\n2. The opening stock price on the FDA approval date\n\nIf the company is not listed on any US stock market, please indicate \""NOT LISTED\"".""",15.14000034,Open_on_Approval
"""For clinical trial NCT02755597, review the more effective regimen ingredients and identify which ingredient starts with the letter 'V'.\n\nThen, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\n\nIf this company is listed on any US stock market (including over-the-counter markets), provide:\n1. The stock ticker symbol\n2. The opening stock price on the FDA approval date\n\nIf the company is not listed on any US stock market, please indicate \""NOT LISTED\"".""",58.59000015,Open_on_Approval
"""For clinical trial NCT00833833, review the more effective regimen ingredients and identify which ingredient starts with the letter 'D'.\n\nThen, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\n\nIf this company is listed on any US stock market (including over-the-counter markets), provide:\n1. The stock ticker symbol\n2. The opening stock price on the FDA approval date\n\nIf the company is not listed on any US stock market, please indicate \""NOT LISTED\"".""",NOT LISTED,Open_on_Approval
"""For clinical trial NCT01973387, review the more effective regimen ingredients and identify which ingredient starts with the letter 'I'.\n\nThen, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\n\nIf this company is listed on any US stock market (including over-the-counter markets), provide:\n1. The stock ticker symbol\n2. The opening stock price on the FDA approval date\n\nIf the company is not listed on any US stock market, please indicate \""NOT LISTED\"".""",NOT LISTED,Open_on_Approval
"""For clinical trial NCT00843882, review the more effective regimen ingredients and identify which ingredient starts with the letter 'L'.\n\nThen, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\n\nIf this company is listed on any US stock market (including over-the-counter markets), provide:\n1. The stock ticker symbol\n2. The opening stock price on the FDA approval date\n\nIf the company is not listed on any US stock market, please indicate \""NOT LISTED\"".""",46.72999954,Open_on_Approval
"""For clinical trial NCT01231412, review the more effective regimen ingredients and identify which ingredient starts with the letter 'S'.\n\nThen, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.\nNote that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\n\nIf this company is listed on any US stock market (including over-the-counter markets), provide:\n1. The stock ticker symbol\n2. The opening stock price on the FDA approval date\n\nIf the company is not listed on any US stock market, please indicate \""NOT LISTED\"".""",39.84000015,Open_on_Approval
