question,correct_nct,model_output,extracted_nct,correct,urls
Choose an option that best describes the efficacy of Placebo compared to Sunitinib monotherapy when used to treat Gastrointestinal stromal tumor.,NCT00075218,"The clinical trial that compared placebo to sunitinib monotherapy for gastrointestinal stromal tumors and showed the efficacy results is NCT00075218.
",NCT00075218,True,
Choose an option that best describes the efficacy of Placebo compared to Sunitinib monotherapy when used to treat Pancreatic NET (Unresectable Locally Advanced or Metastatic).,"NCT00428597, NCT01525550","The clinical trial ID that showed the efficacy of Placebo compared to Sunitinib monotherapy when used to treat Pancreatic NET (Unresectable Locally Advanced or Metastatic) is NCT00428597. In this study, the median progression-free survival (PFS) was 11.4 months in the sunitinib arm versus 5.5 months in the placebo arm. The objective response rate (ORR) with sunitinib was 9%, versus 0% with placebo.
",NCT00428597,True,
Choose an option that best describes the efficacy of Masitinib monotherapy compared to Placebo when used to treat Systemic mastocytosis.,NCT00814073,"The clinical trial ID for the study of Masitinib monotherapy compared to Placebo when used to treat Systemic mastocytosis is NCT00814073. The study found that Masitinib was associated with a cumulative response of 18.7% compared to 7.4% for placebo.
",NCT00814073,True,
Choose an option that best describes the efficacy of Cisplatin and Gemcitabine (GC) compared to Gemcitabine monotherapy when used to treat Cholangiocarcinoma.,NCT00262769,"Cisplatin and Gemcitabine (GC) is more effective than Gemcitabine monotherapy when used to treat Cholangiocarcinoma. A study with the identifier NCT00262769 showed that Cisplatin plus Gemcitabine was associated with a significant survival advantage without substantial toxicity compared to Gemcitabine alone.
NCT00262769
",NCT00262769,True,
Choose an option that best describes the efficacy of mFOLFOX6 (L-Leucovorin) compared to Best supportive care when used to treat Cholangiocarcinoma.,NCT01926236,"Based on the search results, mFOLFOX6 (L-Leucovorin, fluorouracil, and oxaliplatin) has demonstrated efficacy compared to best supportive care (BSC) in treating cholangiocarcinoma. Here's a summary of findings and relevant trial IDs:

*   **ABC-06 Trial:** This phase 3 trial compared FOLFOX to active symptom control (ASC) in patients with advanced biliary tract cancer (BTC) who had progressed on first-line cisplatin and gemcitabine. FOLFOX resulted in a median overall survival (mOS) benefit of 6.2 months compared to 5.3 months with supportive care alone. The median progression-free survival (mPFS) for FOLFOX was 4.0 months.
*   **Chemotherapy vs. BSC Study:** A multi-institutional study showed that chemotherapy improved overall survival in patients with advanced BTC compared to BSC (12.8 months vs. 7.1 months, p=0.003).

While the ABC-06 trial confirms the efficacy of FOLFOX over best supportive care, the search results provide the following clinical trial ID related to FOLFOX and biliary tract cancers:

*   **NCT05564403:** This phase II trial compares mFOLFOX6 alone versus mFOLFOX6 in combination with binimetinib for advanced/recurrent biliary tract cancer after progression on one prior line of therapy. While it does not directly compare mFOLFOX6 to BSC, it investigates the efficacy of mFOLFOX6 in combination with another drug.
",NCT05564403,False,
"Choose an option that best describes the efficacy of Tamoxifen and OFS compared to Tamoxifen, OFS, Zoledronic acid when used to treat Breast cancer.",NCT00295646,"Determining a single NCT ID that definitively answers your question about the efficacy of Tamoxifen and OFS compared to Tamoxifen, OFS, and Zoledronic acid is challenging. Clinical trials often have complex designs and compare multiple treatment arms. However, I can provide some relevant NCT IDs and information from clinical trials that investigated these treatments.

Based on the search results, here's a breakdown of potentially relevant trials:

*   **ABCSG-12 trial:** This trial (no specific NCT ID found in the search results) compared Tamoxifen + OFS with or without zoledronic acid. It indicated that adding zoledronic acid to adjuvant endocrine therapy could significantly improve disease-free survival (DFS) and overall survival (OS).

*   **HOBOE trial:** This trial (no specific NCT ID found in the search results) randomized premenopausal patients to receive 5 years of treatment with OFS plus letrozole or OFS plus tamoxifen with or without zoledronic acid.

*   **NCT00002582:** This trial studied tamoxifen, ovarian ablation, and/or chemotherapy in treating women with stage 1, stage II or stage IIIA breast cancer.

Keep in mind that the efficacy can vary based on patient characteristics (age, menopausal status), cancer stage, hormone receptor status, and other factors.
",NCT00002582,False,
Choose an option that best describes the efficacy of EDC compared to Docetaxel and Epirubicin (DE) when used to treat Breast cancer.,NCT00309556,"Based on the search results, here's a summary of findings related to the efficacy of EDC (Epirubicin, Docetaxel, and Cyclophosphamide) compared to Docetaxel and Epirubicin (DE) in treating breast cancer:

*   **Epirubicin/Docetaxel a Superior Combination:** One study suggests that epirubicin and docetaxel offer better results as first-line chemotherapy than fluorouracil, epirubicin, and cyclophosphamide (FEC) among patients with metastatic breast cancer [6].

*   **Docetaxel and Epirubicin Neoadjuvant Chemotherapy Shows Good Response:** Docetaxel and epirubicin neoadjuvant chemotherapy showed a good response in locally advanced breast cancer [2].

*   **No advantage in adding docetaxel to EC:** A study did not show advantages from the addition of docetaxel to high-dose EC as adjuvant chemotherapy in node-positive breast cancer [10].

*   **Clinical Trial ID:** NCT00066443 determined maximally-tolerated doses, dose-limiting toxicities, response-to-therapy, and explored the role of novel response biomarkers [3].

NCT00066443
",NCT00066443,False,http://www.science.gov/topicpages/b/breast+fibroadenoma+randomized.html
Choose an option that best describes the efficacy of Exemestane monotherapy compared to Exemestane and Tucidinostat when used to treat Breast cancer.,NCT02482753,"Based on the search results, here's a summary of clinical trials involving exemestane and tucidinostat (or similar drugs) in breast cancer:

*   **NCT02115282:** This trial investigates exemestane with or without entinostat (another HDAC inhibitor) in treating breast cancer. The study aims to determine if exemestane is more effective with or without entinostat.
*   **NCT02258451:** This trial studies Radium-223 dichloride versus placebo along with exemestane and everolimus in HER2-negative, hormone receptor-positive metastatic breast cancer with bone metastases.
*   **ChiCTR2100046678:** This trial investigates the efficacy and safety of tucidinostat plus exemestane as a neoadjuvant strategy in early-stage, hormone receptor-positive, HER2-negative breast cancer. It suggests that the combination might be well-tolerated and shows promising clinical responses.
*   **ACE trial (no NCT ID readily available):** A phase 3 trial that studied tucidinostat plus exemestane versus placebo plus exemestane in postmenopausal women with advanced, hormone receptor-positive breast cancer.
*   **NeoTEE trial (no NCT ID readily available):** A phase 2 study evaluating tucidinostat and exemestane as neoadjuvant therapy in patients with hormone receptor-positive, HER2-negative breast cancer.

It appears that Tucidinostat in combination with exemestane may improve outcomes compared to exemestane alone.
",NCT02115282,False,https://www.researchgate.net/scientific-contributions/Nan-Shao-84748523
Choose an option that best describes the efficacy of Abiraterone monotherapy compared to Abiraterone and Apalutamide when used to treat Prostate cancer.,NCT02257736,"Based on the search results, specifically from a Phase 2 clinical trial identified as NCT02867020, here's a summary of the efficacy of Abiraterone monotherapy compared to Abiraterone and Apalutamide in treating prostate cancer:

*   **NCT02867020** studied abiraterone acetate plus prednisone (AAP) and Androgen Deprivation Therapy (ADT) versus apalutamide versus the combination of AAP (without ADT) and apalutamide.
*   The trial aimed to evaluate if apalutamide in monotherapy or in combination with AAP is an effective and safe hormonal treatment that can spare patients from androgen deprivation therapy.
*   The study concluded that ADT-free alternatives provide a high PSA response in advanced castration-sensitive prostate cancer (CSPC), although the apalutamide (APA) arm alone did not reach the expected rate of PSA levels ≤0.2 ng/mL at week 25.
*   At week 25, PSA levels of ≤0.2 ng/mL were observed in 75.6%, 60.0%, and 79.5% of patients in the ADT plus AAP, APA, and APA plus AAP arms, respectively.

Therefore, while abiraterone monotherapy (with ADT) and the combination of abiraterone and apalutamide showed high PSA response rates, apalutamide monotherapy did not reach the same level of efficacy in this study.
",NCT02867020,False,https://pubmed.ncbi.nlm.nih.gov/31122212/
Choose an option that best describes the efficacy of Placebo compared to Imatinib monotherapy when used to treat Gastrointestinal stromal tumor.,NCT00041197,"Based on the search results, particularly the study described in \[1], here's the efficacy of placebo compared to Imatinib monotherapy for Gastrointestinal Stromal Tumors (GIST):

*   **Imatinib significantly prolonged Recurrence-Free Survival (RFS) compared to placebo.** The study ([NCT00041197](https://clinicaltrials.gov/show/NCT00041197)) showed that at 1 year, 98% of patients on Imatinib were recurrence-free, compared to 83% on placebo.

Therefore, Imatinib is more effective than a placebo when used as an adjuvant treatment following the resection of primary GIST.
The relevant clinical trial ID is **NCT00041197**.
",NCT00041197,True,
Choose an option that best describes the efficacy of Mitapivat monotherapy compared to Placebo when used to treat Pyruvate kinase deficiency.,NCT03548220,"Mitapivat monotherapy showed significant efficacy compared to placebo in treating pyruvate kinase deficiency. In a phase 3 trial, 40% of patients in the mitapivat group had a hemoglobin response (increase of ≥1.5 g/dL) compared to none in the placebo group.

The clinical trial ID for this study is NCT03548220.
",NCT03548220,True,
"Choose an option that best describes the efficacy of Tegafur, Uracil, Folinic acid compared to S-1 monotherapy when used to treat Colon cancer.",NCT00660894,"Based on the search results, here's the clinical trial ID and a summary of the efficacy of Tegafur, Uracil, and Folinic acid compared to S-1 monotherapy in treating colon cancer:

**Clinical Trial ID:** NCT00660894

**Efficacy:**

*   A study with this ID, ""Tegafur-Uracil and Leucovorin or S-1 in Treating Patients With Stage III Colon Cancer That Has Been Completely Removed by Surgery,"" aimed to compare the disease-free survival of patients with stage III colon cancer treated with S-1 versus tegafur-uracil and leucovorin after surgery.
*   One retrospective study comparing S-1 to tegafur/uracil and oral leucovorin in patients with metastatic colorectal cancer found no statistically significant differences in overall response, time to progression, or survival time between the two treatments.
*   Another study, ""ACTS-CC trial,"" was a randomized controlled trial of S-1 versus tegafur-uracil/leucovorin as adjuvant chemotherapy for stage III colon cancer. It concluded that adjuvant therapy with S-1 for stage III colon cancer was non-inferior to tegafur-uracil/leucovorin after long-term follow-up.
",NCT00660894,True,https://github.com/ZheDeng2022/IQuasar-internship
Choose an option that best describes the efficacy of Observation compared to S-1 monotherapy when used to treat Gastric cancer.,NCT00152217,"Based on the search results, particularly the ARTIST 2 trial with clinicaltrials.gov identifier NCT0176146, adjuvant SOX (S-1 plus oxaliplatin) or SOX/RT was more effective in prolonging disease-free survival (DFS) compared to S-1 monotherapy in patients with curatively D2-resected, stage II/III, node-positive gastric cancer.
Therefore, S-1 monotherapy is less effective than S-1 with oxaliplatin.

The clinical trial ID is NCT0176146.
",,False,
Choose an option that best describes the efficacy of Placebo compared to Osimertinib monotherapy when used to treat Non-small cell lung cancer.,NCT02511106,"Based on the search results, Osimertinib monotherapy demonstrates significantly greater efficacy compared to placebo in treating Non-Small Cell Lung Cancer (NSCLC) in specific settings. Here's a breakdown:

*   **Improved Survival:** Studies like ADAURA have shown that patients receiving osimertinib after surgery for early-stage NSCLC with EGFR mutations lived substantially longer than those receiving a placebo. For instance, at 5 years, 88% of patients treated with osimertinib were alive, compared to 78% on placebo.
*   **Progression-Free Survival:** The LAURA trial indicated that osimertinib significantly increased progression-free survival compared to placebo in patients with unresectable Stage III EGFR-mutated NSCLC after chemoradiotherapy. The median progression-free survival was 39.1 months with osimertinib versus 5.6 months with placebo.
*   **Reduced Risk of Disease Progression or Death:** Osimertinib has been shown to reduce the risk of disease recurrence or death in patients with completely resected EGFR-mutant NSCLC.
*   **Delayed Time to Subsequent Therapy:** Osimertinib significantly delays the time to first subsequent therapy compared to placebo in patients with unresectable EGFR-mutated NSCLC who have not progressed after chemoradiotherapy.

A relevant clinical trial identifier is **NCT04351555**, which is a phase III study of neoadjuvant osimertinib with or without chemotherapy versus chemotherapy alone for resectable EGFRm Non-Small Cell Lung Cancer.
",NCT04351555,False,
Choose an option that best describes the efficacy of Gefitinib monotherapy compared to Cisplatin and Vinorelbine (CVb) when used to treat Non-small cell lung cancer.,NCT01405079,"Based on the search results, the clinical trial ID for a study comparing Gefitinib monotherapy to Cisplatin and Vinorelbine (CVb) in Non-Small Cell Lung Cancer (NSCLC) is NCT01405079. This trial, called ADJUVANT-CTONG1104, found that gefitinib significantly improved disease-free survival (DFS) compared to vinorelbine plus cisplatin (VP) in patients with EGFR mutation-positive resected stage II-IIIA (N1-N2) NSCLC. However, this DFS advantage did not translate to a significant overall survival (OS) difference.
NCT01405079
",NCT01405079,True,
Choose an option that best describes the efficacy of Observation compared to Nivolumab monotherapy when used to treat Merkel cell carcinoma.,NCT02196961,"Based on the information from the ADMEC-O trial (NCT02196961), nivolumab showed a promising signal of efficacy compared to observation in patients with completely resected Merkel cell carcinoma.

Here's a summary of the findings:

*   **Disease-Free Survival (DFS):** Nivolumab was associated with a superior disease-free survival rate at both 12 and 24 months compared to observation.
    *   At 12 months, the DFS rate was 85% in the nivolumab group versus 77% in the observation group.
    *   At 24 months, the DFS rate was 84% in the nivolumab group versus 73% in the observation group.
    *   The hazard ratio (HR) between treatment and observation was 0.58, favoring the nivolumab group.
*   **Overall Survival (OS):** Overall survival results were not yet mature enough to draw conclusions.
*   **Adverse Events:** Nivolumab was associated with a higher incidence of grade 3-4 adverse events compared to observation (42% vs 11%). However, no treatment-related deaths were reported.

So the answer is: NCT02196961
",NCT02196961,True,
Choose an option that best describes the efficacy of MEC compared to Gilteritinib monotherapy when used to treat Acute myeloid leukemia (Relapsed or Refractory).,NCT02421939,"The ADMIRAL trial (NCT02421939) compared Gilteritinib to salvage chemotherapy (including MEC) in patients with relapsed or refractory FLT3-mutated AML. The results showed that Gilteritinib had significantly longer overall survival and higher remission rates compared to salvage chemotherapy.
",NCT02421939,True,
Choose an option that best describes the efficacy of FULV compared to mFOLFOX6 when used to treat Rectal cancer.,NCT00807911,"Based on the search results, here's the information to address your request:

Several clinical trials have investigated the efficacy of FULV (Fluorouracil and Leucovorin) compared to mFOLFOX6 (modified Fluorouracil, Leucovorin, and Oxaliplatin) in treating rectal cancer. Here's a summary of findings from a relevant trial:

*   **FOWARC Trial:** This phase III trial (PMID: 38081247) evaluated mFOLFOX6 with or without radiation against fluorouracil with radiation in patients with locally advanced rectal cancer. The 10-year results showed no significant difference in long-term survival outcomes between mFOLFOX6 with or without radiation and fluorouracil plus radiation. The 10-year disease-free survival (DFS) rates were 52.5% for fluorouracil plus radiotherapy, 62.6% for mFOLFOX6 plus radiotherapy, and 60.5% for mFOLFOX6 alone.

The clinical trial ID for the FOWARC trial is **NCT01211210** (PMID: 37878544).
",NCT01211210,False,
Choose an option that best describes the efficacy of Placebo compared to Efgartigimod monotherapy when used to treat Immune thrombocytopenia.,NCT04188379,"Based on the search results, here's a description of the efficacy of placebo compared to Efgartigimod monotherapy in treating Immune Thrombocytopenia (ITP), along with the relevant clinical trial ID:

**Efficacy of Efgartigimod vs. Placebo in ITP:**

Efgartigimod monotherapy has demonstrated significantly greater efficacy than placebo in increasing platelet counts and achieving sustained platelet count responses in patients with chronic ITP.

*   **ADVANCE IV trial (NCT04188379):** This phase 3, multicenter, double-blind, placebo-controlled trial showed that efgartigimod significantly increased sustained platelet count responses compared to placebo in patients with chronic ITP, including those who had received multiple prior ITP therapies.
    *   Specifically, 22% of patients receiving efgartigimod achieved a sustained platelet count response (≥50 × 10^9/L for at least 4 of the last 6 weeks) compared to only 5% of those receiving placebo (p=0.032).
    *   The median duration of disease control was also significantly longer with efgartigimod (2.0 weeks) compared to placebo (0.0 weeks) (p=0.0009).
    *   After 1 week of treatment, 38.4% of participants in the efgartigimod group achieved a platelet count of ≥ 30 x 10^9/L, compared to 11.1% in the placebo group.
    *   At week 6, 31.8% of participants in the efgartigimod group reached 2 consecutive platelet counts of ≥ 50 x 10^9/L compared to 2.2% in the placebo group.

**Clinical Trial ID:** NCT04188379
",NCT04188379,True,
Choose an option that best describes the efficacy of Enoxaparin monotherapy compared to Apixaban monotherapy when used to treat Venous thromboembolism.,NCT00452530,"Based on the search results, here are some clinical trials that compared Enoxaparin and Apixaban:

*   **ADVANCE-1:** This trial found similar VTE rates between apixaban and enoxaparin after total knee replacement, but with reduced bleeding observed with apixaban.
*   **ADVANCE-3:** This study showed apixaban was statistically superior to enoxaparin in reducing VTE incidence following total hip replacement, with comparable bleeding rates.
*   **AMPLIFY:** This trial demonstrated that apixaban had comparable efficacy to enoxaparin/warfarin in preventing recurrent VTE, with significantly less major bleeding.
*   **Apixaban vs Enoxaparin Following Microsurgical Breast Reconstruction-An RCT:** Trial ID: NCT04504318, This trial is comparing Apixaban Versus Enoxaparin Following Microsurgical Breast Reconstruction.
*   **CARE Trial:** This trial compares adherence, satisfaction, patient out-of-pocket costs, and VTE rates between apixaban and enoxaparin prescribed as VTE prophylaxis on discharge after radical cystectomy.

It appears there is no single, definitive answer regarding the *superiority* of one drug over the other for all VTE treatment scenarios. Apixaban has demonstrated non-inferiority and, in some cases, superiority in efficacy, along with a trend toward reduced bleeding risk in several studies.
",NCT04504318,False,
Choose an option that best describes the efficacy of Enoxaparin monotherapy compared to Apixaban monotherapy when used to treat Venous thromboembolism.,NCT00423319,"Based on the search results, here's a summary of the efficacy of Enoxaparin monotherapy compared to Apixaban monotherapy for treating venous thromboembolism (VTE), along with relevant clinical trial information:

**General Findings:**

*   Apixaban is often favored as monotherapy for acute VTE due to its effectiveness, lower bleeding risk, and convenience (oral administration) compared to traditional enoxaparin/warfarin treatments.
*   Several studies have compared apixaban to enoxaparin, sometimes in combination with warfarin. Apixaban has demonstrated non-inferiority (meaning it's not worse) to enoxaparin/warfarin in preventing recurrent VTE.
*   Apixaban has shown a statistically significant reduction in major bleeding compared to enoxaparin/warfarin.
*   Apixaban might reduce all-cause hospitalizations and shorten the length of hospital stays compared to enoxaparin/warfarin.

**Specific Clinical Trials and Their NCT IDs:**

*   **Apixaban for the Initial Management of Pulmonary Embolism and Deep-Vein Thrombosis as First-Line Therapy (AMPLIFY) trial:** This trial (NCT00643201) found that apixaban was non-inferior to enoxaparin/warfarin in preventing recurrent VTE with significantly less bleeding. It also showed a reduction in all-cause hospitalizations.
*   **ADVANCE-1 trial:** This trial compared apixaban to enoxaparin for thromboprophylaxis after knee replacement. While the study didn't meet the pre-defined statistical criteria for non-inferiority due to a lower-than-expected incidence of the primary efficacy outcome in the enoxaparin group, it did suggest a potential advantage of apixaban concerning bleeding.
*   **A study on women undergoing surgery for gynecologic malignant neoplasm (NCT02366871):** This study found no statistically significant differences between apixaban and enoxaparin in major bleeding, clinically relevant non-major bleeding, or VTE events. It suggested apixaban is a potentially safe, less painful, and easier-to-take alternative to enoxaparin for thromboprophylaxis after surgery for gynecologic cancer.
*   **ADVANCE-3 study:** This study showed apixaban was statistically superior to enoxaparin in reducing the incidence of VTE in patients undergoing elective total hip replacement surgery, with comparable bleeding rates.

So, based on the information I found, here are some relevant NCT IDs:

*   NCT00643201
*   NCT02366871
",NCT00643201,False,http://www.acphospitalist.org/weekly/archives/2015/12/9/index.html
"Choose an option that best describes the efficacy of Carboplatin and Pemetrexed|Cisplatin and Pemetrexed compared to Carboplatin, Pemetrexed, Durvalumab when used to treat Non-small cell lung cancer nonsquamous.",NCT03800134,"Based on the search results, here are a few clinical trial IDs that are relevant to the efficacy of Carboplatin and Pemetrexed with or without Durvalumab for non-squamous NSCLC:

*   **NCT04163432:** This is a Phase II, open-label, randomized study focusing on staggered chemo-immunotherapy with Durvalumab, Pemetrexed & Carboplatin (PC) for metastatic non-squamous NSCLC.
*   **NCT04470674:** This study investigates Durvalumab or Durvalumab plus chemotherapy in KRAS mutation positive and PD-L1 high (>=50%) NSCLC patients. The chemotherapy regimen includes Carboplatin + Durvalumab + Pemetrexed Disodium.
*   **NCT06008093:** A Phase IIIb study assessing the efficacy of Durvalumab plus Tremelimumab versus Pembrolizumab in combination with platinum-based chemotherapy for first-line treatment in metastatic non-small cell lung cancer patients with non-squamous histology who have mutations and/or co-mutations in STK11, KEAP1, or KRAS
*   **NCT04686305:** This Phase Ib study evaluates the safety and tolerability of Trastuzumab Deruxtecan (T-DXd) and Durvalumab in combination with Cisplatin, Carboplatin or Pemetrexed in first-line treatment of patients with advanced or metastatic non-squamous Non-small Cell Lung Cancer (NSCLC) and Human Epidermal Growth Factor Receptor 2 Overexpression (HER2+) (DESTINY-Lung03).

It appears that the addition of Durvalumab to Carboplatin and Pemetrexed improves outcomes compared to Carboplatin and Pemetrexed alone.
",NCT04163432,False,"https://scholars.uab.edu/16603-maya-khalil/grants, https://tlcr.amegroups.org/article/view/76614/html"
Choose an option that best describes the efficacy of Gefitinib monotherapy compared to Aumolertinib monotherapy when used to treat Non-small cell lung cancer.,NCT03849768,"Based on the clinical trial AENEAS (NCT03849768), aumolertinib monotherapy demonstrates superior efficacy compared to gefitinib monotherapy in the first-line treatment of Non-Small Cell Lung Cancer (NSCLC) with EGFR exon 19 deletion or L858R mutations. Specifically, aumolertinib showed significantly longer progression-free survival (PFS) compared to gefitinib.
NCT03849768
",NCT03849768,True,
Choose an option that best describes the efficacy of Placebo compared to Brentuximab vedotin monotherapy when used to treat Classical Hodgkin lymphoma.,NCT01100502,"Based on the search results, specifically from a phase 3 study, NCT01100502, Brentuximab vedotin showed a clinically significant improvement in Progression-Free Survival (PFS) compared to placebo in patients at high risk of residual Hodgkin Lymphoma following autologous stem cell transplant (ASCT). The median PFS was 42.9 months for Brentuximab vedotin versus 24.1 months for placebo. Long-term follow-up data indicated that Brentuximab vedotin provided a five-year PFS of 59% compared to 41% with placebo.

Therefore, the answer is NCT01100502
",NCT01100502,True,
